x,y
13,20
29,8
26,12
23,25
10,24
31,26
21,21
30,29
21,20
24,25
28,10
10,12
24,17
31,24
24,21
29,14
21,31
30,12
9,28
30,16
28,31
26,27
10,28
30,31
25,11
13,25
11,29
25,26
12,28
21,22
21,28
26,13
11,31
20,19
21,9
31,25
22,25
22,22
18,15
19,16
9,16
18,25
24,10
11,8
18,20
19,20
23,16
21,10
18,8
8,18
16,18
18,28
14,11
27,19
22,24
14,29
16,28
25,19
8,12
15,8
28,9
12,22
29,14
29,11
14,8
18,19
30,11
29,21
26,9
28,17
24,17
17,11
15,21
23,23
23,28
30,12
27,14
20,30
12,15
17,27
27,24
10,24
16,30
31,26
19,22
19,26
28,21
8,8
12,21
16,26
21,26
30,19
17,26
10,26
30,27
17,23
16,11
14,26
14,9
12,17
29,21
31,15
10,17
8,31
26,25
24,24
14,13
13,12
26,25
17,31
17,26
19,8
21,31
29,31
28,25
25,28
18,22
11,28
14,18
29,9
30,19
31,9
15,9
21,14
8,21
18,8
16,17
29,10
15,26
27,29
13,16
17,16
26,26
11,14
24,17
11,13
16,8
13,31
25,22
11,27
20,17
24,16
12,23
28,16
15,20
18,20
14,10
31,28
11,29
16,12
9,25
26,17
13,13
13,17
16,31
22,13
27,26
25,9
26,18
29,9
31,10
19,23
19,10
30,22
13,27
13,24
12,18
17,26
24,13
12,8
13,25
26,19
25,27
29,23
14,23
20,30
31,18
25,27
25,18
13,23
8,10
17,18
16,26
18,19
25,24
10,12
15,12
11,15
24,25
20,8
24,26
17,13
31,21
14,31
26,26
8,30
10,14
14,19
10,24
27,8
8,28
21,27
14,24
19,9
23,11
16,23
14,18
26,27
19,15
11,18
28,24
27,25
21,27
24,31
23,9
18,14
27,15
27,23
19,30
11,17
24,22
14,21
14,11
30,31
14,20
29,8
28,31
14,8
22,25
14,15
19,8
20,26
8,25
13,13
9,13
12,8
15,10
10,20
27,11
18,20
31,10
16,17
28,28
14,28
14,25
22,14
14,14
12,16
13,17
26,17
31,10
17,23
19,25
19,28
12,29
13,12
12,30
8,28
20,10
24,28
8,23
18,10
15,9
11,15
25,9
10,22
18,19
15,17
15,15
22,31
17,10
8,28
15,19
16,10
31,27
21,8
9,26
12,29
22,11
26,24
24,9
11,20
24,24
18,18
22,27
30,29
19,29
19,8
23,30
23,8
15,8
8,21
12,27
31,23
20,31
27,27
13,29
21,28
10,23
28,9
8,18
20,20
26,28
16,28
14,14
8,25
31,26
23,17
12,15
24,15
14,29
13,19
13,22
16,23
9,24
23,29
28,12
13,29
13,8
27,9
17,29
10,10
21,18
31,23
15,9
19,27
22,22
21,22
15,30
18,10
8,15
17,15
22,19
13,12
20,9
9,11
18,10
17,13
19,21
17,23
8,25
27,11
27,15
9,25
23,30
29,10
14,25
17,24
16,28
15,8
13,16
8,9
25,24
21,28
17,19
29,31
30,21
9,23
17,28
30,12
26,19
26,20
16,13
27,18
19,11
19,17
27,20
31,30
11,21
31,19
21,27
10,30
9,15
20,19
17,8
20,22
17,29
31,29
30,21
8,15
17,18
20,12
25,19
28,12
25,29
18,30
9,25
23,12
27,31
30,13
19,10
15,12
20,8
18,18
27,18
31,19
26,23
8,11
20,11
8,25
26,18
16,15
17,28
26,19
11,23
15,28
9,11
12,28
10,26
13,22
25,30
13,21
19,10
26,14
15,25
12,26
11,14
30,16
30,9
22,19
11,19
21,24
30,8
10,15
23,18
18,17
15,31
11,21
28,26
8,14
25,28
24,12
18,26
14,17
26,10
16,11
24,13
31,9
26,29
15,20
8,18
24,8
26,22
8,27
25,19
18,8
